"","symboling","normalized-losses","make","fuel-type","aspiration","num-of-doors","body-style","drive-wheels","engine-location","wheel-base","length","width","height","curb-weight","engine-type","num-of-cylinders","engine-size","fuel-system","bore","stroke","compression-ratio","horsepower","peak-rpm","city-mpg","highway-mpg","price","date"
"1",0,"?","jaguar","gas","std","two","sedan","rwd","front",102,191.7,70.6,47.8,3950,"ohcv","twelve",326,"mpfi","3.54","2.76",11.5,"262","5000",13,17,"36000","2014-07-12"
"2",3,"194","nissan","gas","std","two","hatchback","rwd","front",91.3,170.7,67.9,49.7,3071,"ohcv","six",181,"mpfi","3.43","3.27",9,"160","5200",19,25,"17199","2016-09-23"
"3",0,"?","peugot","diesel","turbo","four","wagon","rwd","front",114.2,198.9,68.4,58.7,3485,"l","four",152,"idi","3.7","3.52",21,"95","4150",25,25,"17075","2016-08-12"
"4",0,"85","honda","gas","std","four","sedan","fwd","front",96.5,175.4,65.2,54.1,2304,"ohc","four",110,"1bbl","3.15","3.58",9,"86","5800",27,33,"8845","2019-12-04"
"5",0,"108","nissan","gas","std","four","sedan","fwd","front",100.4,184.6,66.5,55.1,3060,"ohcv","six",181,"mpfi","3.43","3.27",9,"152","5200",19,25,"13499","2015-08-16"
"6",-1,"93","mercedes-benz","diesel","turbo","four","sedan","rwd","front",115.6,202.6,71.7,56.3,3770,"ohc","five",183,"idi","3.58","3.64",21.5,"123","4350",22,25,"31600","2014-04-21"
"7",0,"128","nissan","gas","std","four","sedan","fwd","front",100.4,181.7,66.5,55.1,3095,"ohcv","six",181,"mpfi","3.43","3.27",9,"152","5200",17,22,"13499","2017-11-19"
"8",-1,"74","plymouth","gas","std","four","wagon","fwd","front",103.3,174.6,64.6,59.8,2535,"ohc","four",122,"2bbl","3.35","3.46",8.5,"88","5000",24,30,"8921","2018-05-23"
"9",0,"?","bmw","gas","std","four","sedan","rwd","front",103.5,189,66.9,55.7,3230,"ohc","six",209,"mpfi","3.62","3.39",8,"182","5400",16,22,"30760","2015-01-12"
"10",0,"?","peugot","gas","std","four","wagon","rwd","front",114.2,198.9,68.4,56.7,3285,"l","four",120,"mpfi","3.46","2.19",8.4,"95","5000",19,24,"16695","2016-01-14"
"11",-1,"95","volvo","gas","std","four","sedan","rwd","front",109.1,188.8,68.9,55.5,2952,"ohc","four",141,"mpfi","3.78","3.15",9.5,"114","5400",23,28,"16845","2016-09-07"
"12",3,"150","mazda","gas","std","two","hatchback","rwd","front",95.3,169,65.7,49.6,2385,"rotor","two",70,"4bbl","?","?",9.4,"101","6000",17,23,"13645","2017-03-14"
"13",0,"?","volkswagen","diesel","turbo","four","sedan","fwd","front",100.4,180.2,66.9,55.1,2579,"ohc","four",97,"idi","3.01","3.4",23,"68","4500",33,38,"13845","2017-02-04"
"14",-1,"110","dodge","gas","std","four","wagon","fwd","front",103.3,174.6,64.6,59.8,2535,"ohc","four",122,"2bbl","3.34","3.46",8.5,"88","5000",24,30,"8921","2018-07-17"
"15",-1,"65","toyota","gas","std","four","sedan","fwd","front",102.4,175.6,66.5,54.9,2326,"ohc","four",122,"mpfi","3.31","3.54",8.7,"92","4200",29,34,"8948","2018-06-16"
"16",0,"161","peugot","diesel","turbo","four","sedan","rwd","front",107.9,186.7,68.4,56.7,3252,"l","four",152,"idi","3.7","3.52",21,"95","4150",28,33,"16900","2016-01-23"
"17",0,"?","peugot","diesel","turbo","four","wagon","rwd","front",114.2,198.9,68.4,58.7,3430,"l","four",152,"idi","3.7","3.52",21,"95","4150",25,25,"13860","2017-01-12"
"18",0,"145","jaguar","gas","std","four","sedan","rwd","front",113,199.6,69.6,52.8,4066,"dohc","six",258,"mpfi","3.63","4.17",8.1,"176","4750",15,19,"32250","2015-12-28"
"19",0,"108","nissan","gas","std","four","wagon","fwd","front",100.4,184.6,66.5,56.1,3296,"ohcv","six",181,"mpfi","3.43","3.27",9,"152","5200",17,22,"14399","2018-06-13"
"20",2,"164","audi","gas","std","four","sedan","fwd","front",99.8,176.6,66.2,54.3,2337,"ohc","four",109,"mpfi","3.19","3.4",10,"102","5500",24,30,"13950","2016-12-15"
"21",3,"?","mitsubishi","gas","turbo","two","hatchback","fwd","front",95.9,173.2,66.3,50.2,2926,"ohc","four",156,"spdi","3.59","3.86",7,"145","5000",19,24,"14489","2016-01-15"
"22",3,"?","porsche","gas","std","two","hardtop","rwd","rear",89.5,168.9,65,51.6,2756,"ohcf","six",194,"mpfi","3.74","2.9",9.5,"207","5900",17,25,"32528","2014-05-26"
"23",0,"?","bmw","gas","std","four","sedan","rwd","front",110,197,70.9,56.3,3505,"ohc","six",209,"mpfi","3.62","3.39",8,"182","5400",15,20,"36880","2014-11-18"
"24",2,"83","subaru","gas","std","two","hatchback","fwd","front",93.7,156.9,63.4,53.7,2050,"ohcf","four",97,"2bbl","3.62","2.36",9,"69","4900",31,36,"5118","2019-08-08"
"25",2,"121","chevrolet","gas","std","two","hatchback","fwd","front",88.4,141.1,60.3,53.2,1488,"l","three",61,"2bbl","2.91","3.03",9.5,"48","5100",47,53,"5151","2020-06-23"
"26",0,"106","nissan","gas","std","four","hatchback","fwd","front",97.2,173.4,65.2,54.7,2324,"ohc","four",120,"2bbl","3.33","3.47",8.5,"97","5200",27,34,"8949","2016-10-21"
"27",1,"104","mazda","gas","std","two","hatchback","fwd","front",93.1,159.1,64.2,54.1,1890,"ohc","four",91,"2bbl","3.03","3.15",9,"68","5000",30,31,"5195","2019-11-22"
"28",3,"?","porsche","gas","std","two","hardtop","rwd","rear",89.5,168.9,65,51.6,2756,"ohcf","six",194,"mpfi","3.74","2.9",9.5,"207","5900",17,25,"34028","2014-06-05"
"29",-1,"?","mercedes-benz","gas","std","four","sedan","rwd","front",115.6,202.6,71.7,56.5,3740,"ohcv","eight",234,"mpfi","3.46","3.1",8.3,"155","4750",16,18,"34184","2014-08-28"
"30",0,"115","mazda","gas","std","four","sedan","fwd","front",98.8,177.8,66.5,55.5,2410,"ohc","four",122,"2bbl","3.39","3.39",8.6,"84","4800",26,32,"10245","2018-07-15"
"31",1,"87","toyota","gas","std","two","hatchback","fwd","front",95.7,158.7,63.6,54.5,1985,"ohc","four",92,"2bbl","3.05","3.03",9,"62","4800",35,39,"5348","2019-02-18"
